predicted_answer,actual_answer,사고원인,인적사고
안전 교육 강화와 작업 공간의 안전 통로 확보 및 관리 철저히 실시.,근로자 교육 및 작업장 정리의 실행.,비산2동주민센터주변지구 주택재건축현장 에서 2019년12월31일 11시 20분경 1층 평지에서 형틀 작업을 위한 자재(각재)를 들고 이동하다 발을 헛디뎌 넘어짐,넘어짐(기타)
안전 교육 강화와 함께 가설휀스 설치 시 고정 장치 사용 의무화 및 정기적인 안전 점검 실시 계획 수립.,근로자 작업전 위험물 인지 교육 강화와 고임목 사용 시 미끄러짐 방지 및 경사 쐐기목 사용을 통한 이탈 방지 안전교육 철저.,가설휀스 자재 이동 및 정리 중 고임목이 이탈되어 왼손 엄지손가락이 자재사이에 끼임,끼임
안전 교육 강화 및 작업 현장 주변 고압선 경고 표시 설치,안전교육과 치료를 포함한 향후 조치 계획.,현장 인근의 고압선과 접촉,떨어짐(3미터 이상 ~ 5미터 미만)
"출입금지구역 경계 강화 및 경고 표지판 설치, 지하층 조명 개선을 통해 재발 방지하고 정기적인 안전 점검과 교육 실시로 예방 강화합니다.",위험한 곳 접근금지조치와 개구부덮개 밀실한 설치를 통한 재발 방지 대책 및 향후 조치 계획.,출입금지구역 출입 및 지하3층 조도 미확보,넘어짐(기타)
"작업자 안전 교육 강화와 작업 전 안전 점검 절차 엄격히 시행하며, 말비계 사용 시 안전 수칙 준수를 강조하는 조치 계획 수립.",지속적인 작업자 안전교육 강화에 대한 재발 방지 대책 및 향후 조치 계획.,"해당 공사, 101동 502호 세대 오배수배관 작업시 말비계 위에서 안전 부주의로 인해 약 80cm높이에서 전도되어 넘어진 것으로 파악",넘어짐(기타)
"휴게실 바닥에 미끄럼 방지 매트 설치 및 정기적인 안전 점검 실시. 또한, 근로자들에게 안전한 이동 방법 교육을 강화하고, 사고 발생 시 즉시 보고 체계를 확립하여 신속한 대응 체계를 구축합니다.","사고 발생에 대한 재해자의 주장, 휴게실의 기자재 정리, 유사 사고 예방을 위한 안전교육 실시 및 유사사례 발생 방지를 위한 지도.",2020년 10월 09일 금요일 13시 00분 경 근로자 컨테이너 휴게실에서 재해자 김00이 휴게실 내부 서류 작업용 책상 위에서 누워 휴식을 취한 후 일어나 책상 위에서 내려오는 도중 좌측 다리에 힘이 빠져 발이 겹질린 사고,넘어짐(미끄러짐)
"안전 교육 강화와 함께 데크플레이트 및 하부 구조물의 안정성 점검을 의무화하고, 필요시 보강 조치를 취하는 것을 재발 방지 대책으로 삼으며, 향후 모든 고층 구조물 콘크리트 타설 작업 전에 구조적 안전성 검토를 실시하는 계획을 수립합니다.",공사장 안전점검 실시와 관내 공사장 사고사례 전파를 통한 재발 방지 대책 및 안전관리에 대한 현장조사 결과에 따른 행정처분 등 조치예정.,11층 벽체 및 바닥슬래브(기계식주차장 상부) 콘크리트 타설 중 데크플레이트 및 하부 H-beam 가시설 붕괴로 공사장 인부 추락,떨어짐(10미터 이상)
"작업 전 안전 교육 강화와 개인 보호장구 착용 의무화를 통해 재발 방지 대책을 마련하고, 절단 작업 시 안전 감독자 배치와 기계 점검 절차를 엄격히 시행하여 안전성을 높일 계획입니다.",TBM 교육 및 안전관리교육을 통한 재발 방지.,23년 8월 15일 박** 철근 근로자가 오전 7시 40분 경 전기실 데크플레이트 상부에서 철근 절단기를 사용하여 철근을 절단하던 중 철근 절단기와 철근 사이에 왼손 검지손가락이 협착된 사고,"절단, 베임"
작업자 안전 교육 강화와 안전 통로 확보를 위한 시설 개선을 포함한 재발 방지 대책 및 향후 조치 계획을 마련하고 시행합니다.,근로자 안전교육 실시 및 TBM 시 수시교육을 통한 지정된 이동통로 사용의 재발 방지 대책.,주민공동시설 지붕층에 있는 철근 자재를 양중하기 위해 이동하던 중 작업장소로 가는 이동거리를 단축하기 위해 이동통로가 아닌 세대(105동 104호) 세탁실 창문에서 뛰어내림,떨어짐(2미터 미만)
"안전 교육 강화를 통해 근로자들에게 위험 요소 인식과 안전 수칙 준수를 강조하고, 작업 전 안전 점검 절차를 엄격히 시행하여 장비의 이상 유무를 확인하도록 합니다. 또한, 개인 보호 장비(PPE) 사용을 의무화하고, 작업 중 위험 요소에 대한 실시간 모니터링 시스템을 도입하여 즉시 대응할 수 있도록 합니다.",관리자 현장확인 및 상주와 안전교육 시행 및 자격 프로세스 교육을 통한 재발 방지 대책 마련.,"2019년 9월 9일(월) 오전 10시경 고려대학교 의학도서관 리모델링 현장 3층 화장실에서 재해자가 화장실 조적벽체 건식 코어 드릴 작업중 코어 드릴이 타공 면에 끼여 손잡이를 놓쳤고, 이에 회전하는 드릴 몸체에 재해자 우측 엄지손가락을 강타한 재해 (우측 수부 무지부 근위지골 견열골절 (통원4주예상))",끼임
"핸드 글라인더 사용 시 안전 커버 착용 의무화 교육 강화와 함께, 재단 작업 전용 안전 장비 도입 및 작업 절차 표준화를 포함한 재발 방지 대책과 향후 작업 안전 관리 시스템 구축을 계획합니다.",핸드글라인더를 포함한 위험기계기구 사용에 대한 특별안전교육 실시.,핸드 글라인더 사용 시 커버를 제거 후 타일공사를 위한 각재 재단 작업으로 인한 사고 발생,"절단, 베임"
사다리 사용 최소화 및 안전 장비 착용 의무화 강화.,"사다리 운반 시 2인 1조 운반, 중량물 취급 기준 교육, 작업 전 충분한 스트레칭 실시 및 중량물 취급 기준 교육 요청.",사다리 운반으로 허리통증,기타
"재발 방지 대책과 향후 조치 계획 수립을 위해 즉시 작업 환경 및 근로자 건강 상태에 대한 심층 조사 실시하고, 원인 불명의 사고 예방을 위한 정기적인 건강 검진과 안전 교육 강화하며, 명확한 사고 대응 프로토콜 마련 및 모든 작업자에게 공유한다.","현장 내 유해가스 집중 관리와 유해가스 측정 및 작업허가서 제출 후 작업 투입, 근로자 방진마스크 및 방독마스크 착용 생활화를 위한 철저한 교육 및 관리.",원인미상,질병
작업 중 안정적인 자세 유지 교육 강화 및 힘의 효율적 사용 방법 훈련 실시.,Tray Separator 안전커버 보양조치와 작업자 간 의사소통을 통한 무리한 힘 가하지 않도록 조치함.,불안정한 자세에서 무리한 힘을 가함으로 인한 상해,끼임
안전 발판 및 안전 그물 설치 의무화와 정기적인 안전 교육 실시.,안전교육 강화를 통한 재발 방지 대책 마련.,외부 비계 및 작업발판없이 구조물 거푸집 작업 중 미끄러져 넘어진 사고,떨어짐(2미터 미만)
조명 개선 및 덮개 고정 강화 조치를 취하고 정기적인 안전 점검 실시를 통해 재발 방지를 확보합니다.,배관공 및 근로자 특별교육 실시와 현장 정리 계획.,주차장 내부 조명 확보 미흡 중 오픈부 덮개 고정 불량부위에 근로자 부주의로 넘어짐,넘어짐(기타)
안전장비 착용 의무화 및 작업 중 쇳가루 관리 강화.,개인 안전보호구 착용 철저.,그라인더로 금속(U-bar) 절단 중 쇳가루가 눈에 들어감,기타
작업자 통제 강화 및 안전 교육 확대를 통한 재발 방지 대책 수립. 향후 정기적인 안전 점검과 실시간 모니터링 시스템 도입 계획.,안전교육 실시와 작업 중 작업자 통제 강화에 대한 재발 방지 대책 및 향후 조치 계획.,자재 정리 작업 중 작업자 통제 미흡에 따른 작업자 넘어짐,넘어짐(미끄러짐)
안전 교육 강화 및 핸드 그라인더 사용에 대한 전문 교육 실시를 통한 재발 방지 대책 및 향후 조치 계획 수립.,근로자 안전교육 철저와 숙련된 작업자의 위험작업 실시를 통한 안전사고 재발 방지 대책 강구.,핸드 그라인더 사용 미숙,"절단, 베임"
"작업 공간 확보 및 안전장비 착용 의무화 강화, 정기적인 안전 교육 실시 및 위험 요소 사전 점검 체계 구축.","작업 전 현장 관리 철저 및 안전사고 유의, 안전사고 발생 시 초기 보고 철저 교육, 작업원 안전교육 실시 및 작업 전 안전 확인 숙지.",2020년 4월 18일 16시경 극동건설(주) 이천~충주철도공사 2공구노반신설 기타공사 현장의 장호원읍 이황리361-6번지에서 가설방음벽 납품설치 업체인 흥국산업(주)소속 방음벽 작업 근로자가 가설방음벽 자재인 강관파이프를 소운반 하다가 말뚝에  걸려 넘어져 좌측 무릎 슬개골 골절상을 입음,넘어짐(기타)
작업자 안전 교육 강화와 철근 배근 작업 시 안전 경계 설정을 통한 재발 방지 대책 및 향후 조치 계획 수립.,"규정 공도구 및 일반공구 사용에 관한 관리감독 철저, 관리자의 작업장법 지도 철저, 관리자의 작업 투입 전 안전성 및 작업방법에 대한 안전교육 실시, 수시 안전점검을 통한 불안전한 행동 및 상태 제거와 안전사고 예방.","1층 바닥보 철근 배근 작업 중, 작업자의 부주의로 넘어짐",넘어짐(물체에 걸림)
"안전 교육 강화 및 미끄럼 방지 장비 제공으로 재발 방지 대책을 마련하고, 정기적인 안전 점검 실시를 향후 조치 계획으로 삼겠습니다.",유사 사고 방지 교육과 산재신고 완료 후 처리 완료를 포함한 재발 방지 대책.,뒷걸음 하시다 넘어짐,넘어짐(물체에 걸림)
"작업 통행로 명확히 구분하고 관리 강화하며, 정기적인 안전 점검 실시 예정입니다.",불안전한 장소 이동 금지에 대한 특별 교육 실시.,작업 통행로 관리 미흡,찔림
안전교육 강화와 함께 작업 후 안전 점검 절차 엄격히 준수하도록 관리 체계 개선.,집수정 주위 난간대 설치와 사고 재발 방지 대책 수립 및 현장조치 사항 확인.,양수기 설치 작업 후 집수정 덮개 미 소정,넘어짐(물체에 걸림)
"작업 전 안전 점검 강화 및 낙하 방지 그물 설치 의무화, 작업자 안전 교육 강화 및 개인 보호 장비 사용 의무화.","현장 안전 강화를 위한 교육 실시와 신호 체계 확립, 근로자의 건강 상태 확인을 포함한 안전 관리 강화.",현장 내 가시설 코너스트러트 4단 해체 작업 시 로더에서 내려 작업 상태 확인 중 약 5m 높이에서 H빔이 낙하하여 비래 사고 발생.,물체에 맞음
안전장비 착용 의무화 강화 및 작업 전 안전 점검 절차 엄격히 시행.,작업장비 관리 및 안면 보호장비 착용에 대한 재발 방지 대책과 향후 조치 계획.,배관 철거를 위한 그라인더 작업 중,"절단, 베임"
안전 교육 강화 및 개인 보호 장비 착용 의무화를 통해 재발 방지. 정기적인 안전 점검 실시 예정.,작업자 안전수칙 철저 이행을 위한 안전교육 실시와 동일사고 발생 방지를 위한 작업자 안전교육 실시.,작업자 실수에 의한 낙하사고,떨어짐(2미터 미만)
"재발 방지를 위해 용접 작업 후 압력 게이지 및 산소 배출 시스템에 대한 철저한 점검 절차를 도입하고, 작업자들에게 안전 교육을 강화하여 불꽃 발생 위험을 인지시키며, 즉시 대응 매뉴얼을 마련합니다. 향후에는 정기적인 안전 점검과 함께 사고 발생 시 신속한 보고 및 분석 시스템을 구축합니다.",올바른 작업방법 및 위험요인에 따른 근로자 교육 강화와 관리 감독자 현장관리 철저.,강관 용접작업 후 압력게이지 산소테스트 후 산소 배출로 인한 불꽃발생으로 손등에 화상 발생,기타
"재발 방지를 위해 작업 강도 조절 및 정기적인 건강 검진을 실시하며, 향후에는 근로자 교육 강화와 작업 환경 개선을 병행할 계획입니다.",작업자 안전교육과 조치사항 확인을 통한 재발 방지 대책 마련.,신체 부담 업무,질병
안전 교육 강화와 정기적인 장비 점검 실시를 통해 고정 상태 확인 의무화 및 안전 장비 사용 의무화를 포함한 재발 방지 대책 마련.,"해당 공종(철근콘크리트공사) 안전수칙 작업순서 및 가설자재 조립방법 숙지 확인과 근로자 안전교육 실시, 개인 안전보호구 착용 철저.","재해자 최**씨가 접이식 합벽지지대의 상하부 고정볼트가 풀려있는 상태에서 설치하기 위해 세우던 중, 합벽지지대를 잡고 있던 오른손 손가락이 접합부에 끼임",끼임
